WindSpeed Bin,Turbine,Average of Power,OEM Power 1.8MW (kW),OEM Power 2MW (kW)
19,T12,1997.1015151515153,1800,2000
21,T12,1995.9884615384617,1800,2000
15,T07,1988.5456614509237,1800,2000
17,T07,1987.427204030227,1800,2000
18,T12,1984.1431034482748,1800,2000
14,T07,1980.8697696737045,1800,2000
16,T07,1975.1084427767355,1800,2000
16,T11,1969.4312267657992,1800,2000
15,T11,1964.1145833333333,1800,2000
17,T12,1955.967741935484,1800,2000
19,T07,1953.9216216216219,1800,2000
14,T11,1953.19244897959,1800,2000
18,T07,1949.9166037735852,1800,2000
13,T07,1949.559133574005,1799,1996
16,T06,1946.862970711297,1800,2000
14,T06,1945.6937937937932,1800,2000
16,T12,1941.1149484536077,1800,2000
13,T06,1934.4611705924322,1799,1996
17,T06,1933.3552112676055,1800,2000
15,T04,1920.9430446194217,1800,2000
13,T10,1920.0722466960337,1799,1996
13,T11,1919.4843421052617,1799,1996
16,T04,1915.7568027210884,1800,2000
15,T06,1912.1646539027984,1800,2000
12,T04,1911.8113333333333,1791,1960
16,T08,1910.2938704028006,1800,2000
14,T04,1909.9650853889957,1800,2000
17,T04,1909.907106598985,1800,2000
13,T12,1907.0265042979943,1799,1996
14,T10,1904.134649122807,1800,2000
15,T10,1903.3442386831277,1800,2000
20,T12,1901.5400000000002,1800,2000
13,T04,1899.9046650717694,1799,1996
12,T10,1896.3392718822615,1791,1960
20,T11,1894.311764705882,1800,2000
14,T09,1894.2954653937957,1800,2000
13,T09,1894.2337394564202,1799,1996
12,T06,1888.2653783342414,1791,1960
17,T10,1887.518181818182,1800,2000
18,T06,1885.7174242424244,1800,2000
13,T08,1885.1670876671626,1799,1996
14,T08,1884.635110294117,1800,2000
12,T12,1884.139227053141,1791,1960
18,T11,1877.100000000001,1800,2000
15,T08,1876.962038216562,1800,2000
12,T07,1875.2900677200898,1791,1960
17,T11,1875.2368421052647,1800,2000
18,T04,1869.6826086956519,1800,2000
16,T10,1868.6213414634149,1800,2000
21,T11,1865.6930232558136,1800,2000
14,T05,1864.9873464373454,1800,2000
20,T06,1863.9870370370375,1800,2000
12,T09,1856.9521232876707,1791,1960
15,T12,1853.796610169492,1800,2000
12,T11,1849.1043525571274,1791,1960
14,T12,1837.8069915254248,1800,2000
20,T07,1835.470731707317,1800,2000
19,T05,1832.5850931677023,1800,2000
18,T08,1829.553913043478,1800,2000
13,T05,1827.1120227457366,1799,1996
17,T08,1825.9257142857139,1800,2000
19,T11,1824.493457943926,1800,2000
11,T10,1814.2504860661054,1724,1806
19,T08,1812.3967078189291,1800,2000
11,T12,1804.9580363147277,1724,1806
15,T05,1804.860035842293,1800,2000
19,T06,1804.3451327433634,1800,2000
15,T09,1801.4275,1800,2000
11,T04,1800.584933973586,1724,1806
12,T05,1789.6302197802202,1791,1960
12,T08,1781.8428216283412,1791,1960
18,T10,1771.111229946524,1800,2000
16,T05,1757.8631188118811,1800,2000
18,T05,1749.0694779116466,1800,2000
21,T07,1745.2865671641794,1800,2000
20,T08,1734.3051282051279,1800,2000
17,T05,1731.1907692307695,1800,2000
19,T04,1729.8607843137256,1800,2000
21,T05,1719.2094339622643,1800,2000
11,T06,1716.5646551724137,1724,1806
11,T09,1712.3032655576094,1724,1806
11,T11,1698.7377240841777,1724,1806
11,T07,1693.8123823675066,1724,1806
20,T05,1689.9023809523808,1800,2000
16,T09,1679.1239795918373,1800,2000
17,T09,1642.3500000000001,1800,2000
11,T05,1634.2262090483619,1724,1806
11,T08,1598.82959237692,1724,1806
10,T10,1594.134107327141,1492,1501
20,T04,1593.1444444444444,1800,2000
10,T12,1588.544759358287,1492,1501
22,T12,1587.5230769230768,1800,2000
10,T04,1584.705999055264,1492,1501
23,T12,1572.2625,1800,2000
22,T07,1566.632894736842,1800,2000
19,T10,1531.5172413793102,1800,2000
20,T10,1530.0464285714286,1800,2000
19,T09,1500.678947368421,1800,2000
22,T11,1494.1310344827587,1800,2000
21,T04,1466.9066666666665,1800,2000
21,T08,1465.6299319727889,1800,2000
10,T11,1459.7885443037965,1492,1501
10,T09,1448.970666013711,1492,1501
10,T06,1447.782728006457,1492,1501
21,T06,1446.6363636363637,1800,2000
18,T09,1439.0752631578946,1800,2000
10,T07,1422.2586770110245,1492,1501
20,T09,1405.8082706766918,1800,2000
22,T08,1396.8749999999998,1800,2000
10,T05,1379.4100171969044,1492,1501
10,T08,1349.4808547754023,1492,1501
22,T09,1316.6603448275857,1800,2000
9,T12,1292.8914928425384,1145,1145
21,T09,1276.9246575342465,1800,2000
23,T11,1271.28,1800,2000
9,T10,1268.1134826325408,1145,1145
9,T04,1261.7698471859842,1145,1145
23,T09,1247.148,1800,2000
22,T06,1211.1683333333335,1800,2000
9,T11,1175.7794561933529,1145,1145
9,T09,1131.8522504091661,1145,1145
9,T06,1129.9236324633537,1145,1145
9,T07,1103.7403803131992,1145,1145
9,T05,1090.2567677514794,1145,1145
22,T05,1084.0166666666669,1800,2000
23,T08,1048.8969230769228,1800,2000
9,T08,1046.0794787077834,1145,1145
21,T10,1043.7408450704227,1800,2000
8,T12,963.2828934506348,810,810
8,T10,923.5118283582087,810,810
8,T04,921.6590506148133,810,810
24,T12,875.28,1800,2000
8,T11,864.0839638157892,810,810
23,T07,830.0769230769231,1800,2000
8,T09,798.231360748913,810,810
8,T06,795.6454357459373,810,810
22,T04,782.7692307692307,1800,2000
8,T05,774.7616486407476,810,810
8,T07,771.7787130321738,810,810
23,T04,764.1,1800,2000
22,T10,748.2462962962962,1800,2000
8,T08,745.2431262878998,810,810
24,T07,697.8260869565216,1800,2000
7,T12,638.8721667498752,535,535
23,T05,632.6318181818182,1800,2000
23,T06,632.2348837209302,1800,2000
23,T10,607.7230769230769,1800,2000
7,T10,607.6046270330905,535,535
7,T04,589.3762596459374,535,535
7,T11,586.8842169782405,535,535
7,T09,524.3124332977576,535,535
7,T06,520.3397295406854,535,535
7,T05,508.8983236477423,535,535
7,T07,506.8967680608366,535,535
24,T04,500.025,1800,2000
7,T08,490.78419648810836,535,535
24,T11,485.65333333333336,1800,2000
24,T08,446.5135135135135,1800,2000
6,T12,385.27405383525615,328,328
6,T11,368.5994418604648,328,328
6,T10,367.8863312459512,328,328
24,T05,366.07500000000005,1800,2000
6,T04,347.6475416258568,328,328
