PCTimeStamp,OEM Power 2MW (kW),OEM Power 1.8MW (kW),Average of Power,Average of WindSpeed
2023-01-01 00:00:00,1145,1145,1398.6,9.2
2023-01-01 00:10:00,1145,1145,1352.9,9.2
2023-01-01 00:20:00,1145,1145,1246.6,9
2023-01-01 00:30:00,810,810,911.7,7.8
2023-01-01 00:40:00,535,535,696.8,7.3
2023-01-01 00:50:00,535,535,641,7
2023-01-01 01:00:00,535,535,522.3,6.7
2023-01-01 01:10:00,328,328,413.9,6.4
2023-01-01 01:20:00,535,535,438.7,7
2023-01-01 01:30:00,535,535,419.6,6.9
2023-01-01 01:40:00,810,810,648.2,7.6
2023-01-01 01:50:00,810,810,727.7,7.9
2023-01-01 02:00:00,810,810,742.4,8
2023-01-01 02:10:00,1145,1145,884.1,8.5
2023-01-01 02:20:00,1145,1145,1027.5,8.9
2023-01-01 02:30:00,1145,1145,997.3,8.8
2023-01-01 02:40:00,1145,1145,1019.7,8.6
2023-01-01 02:50:00,1145,1145,1148.4,9
2023-01-01 03:00:00,1501,1492,1453.5,9.8
2023-01-01 03:10:00,1145,1145,1220.7,9.3
2023-01-01 03:20:00,1501,1492,1362.4,9.8
2023-01-01 03:30:00,1501,1492,1535.6,10.1
2023-01-01 03:40:00,1501,1492,1542.5,10.1
2023-01-01 03:50:00,1806,1724,1706.2,10.7
2023-01-01 04:00:00,1806,1724,1830.7,11.2
2023-01-01 04:10:00,1806,1724,1772.5,10.9
2023-01-01 04:20:00,1501,1492,1623.1,10.4
2023-01-01 04:30:00,1960,1791,1912.9,11.7
2023-01-01 04:40:00,1996,1799,2000.2,12.9
2023-01-01 04:50:00,2000,1800,2000.2,13.7
2023-01-01 05:00:00,1996,1799,1992.5,12.7
2023-01-01 05:10:00,1996,1799,1999.5,13.3
2023-01-01 05:20:00,1996,1799,1997.6,13.3
2023-01-01 05:30:00,1996,1799,1999.8,13.3
2023-01-01 05:40:00,1996,1799,1995.8,12.9
2023-01-01 05:50:00,2000,1800,2000.2,14.2
2023-01-01 06:00:00,1996,1799,2000.2,13.3
2023-01-01 06:10:00,2000,1800,2000,15.7
2023-01-01 06:20:00,2000,1800,2000.4,16.5
2023-01-01 06:30:00,2000,1800,2000.3,18.1
2023-01-01 06:40:00,2000,1800,2000.3,18.1
2023-01-01 06:50:00,2000,1800,2000.2,17.9
2023-01-01 07:00:00,2000,1800,2000.2,19.9
2023-01-01 07:10:00,2000,1800,2000.3,20.8
2023-01-01 07:20:00,2000,1800,2000.3,20.5
2023-01-01 07:30:00,2000,1800,2000.3,19.8
2023-01-01 07:40:00,2000,1800,2000.4,20.2
2023-01-01 07:50:00,2000,1800,2000.3,19.8
2023-01-01 08:00:00,2000,1800,2000.4,17.5
2023-01-01 08:10:00,2000,1800,1999.6,18.6
2023-01-01 08:20:00,2000,1800,2000.4,18.3
2023-01-01 08:30:00,2000,1800,2000.2,20.1
2023-01-01 08:40:00,2000,1800,2000.4,17.7
2023-01-01 08:50:00,2000,1800,1992.2,15.7
2023-01-01 09:00:00,2000,1800,2000.7,16
2023-01-01 09:10:00,2000,1800,2000,16.2
2023-01-01 09:20:00,2000,1800,2000.2,17.2
2023-01-01 09:30:00,2000,1800,2000.1,16.2
2023-01-01 09:40:00,2000,1800,2000.1,17.2
2023-01-01 09:50:00,2000,1800,1996.4,16.1
2023-01-01 10:00:00,2000,1800,2000.2,17.8
2023-01-01 10:10:00,2000,1800,1999.9,18.2
2023-01-01 10:20:00,2000,1800,1999.8,16.8
2023-01-01 10:30:00,2000,1800,2000.3,17.3
2023-01-01 10:40:00,2000,1800,2000,18.4
2023-01-01 10:50:00,2000,1800,1999.5,20.4
2023-01-01 11:00:00,2000,1800,1996,21.4
2023-01-01 11:10:00,2000,1800,2000.2,18.8
2023-01-01 11:20:00,2000,1800,2000,20.1
2023-01-01 11:30:00,2000,1800,2000.4,21.1
2023-01-01 11:40:00,2000,1800,2000.2,22
2023-01-01 11:50:00,2000,1800,1999.5,23.8
2023-01-01 12:00:00,2000,1800,2000.2,21.5
2023-01-01 12:10:00,2000,1800,2000.5,20.3
2023-01-01 12:20:00,2000,1800,2000.3,23.2
2023-01-01 12:30:00,2000,1800,2000.3,22.8
2023-01-01 12:40:00,2000,1800,1999.8,23.8
2023-01-01 12:50:00,2000,1800,2000.4,23.7
2023-01-01 13:00:00,2000,1800,2000.4,22
2023-01-01 13:10:00,2000,1800,2000.5,21.4
2023-01-01 13:20:00,2000,1800,2000.2,21.1
2023-01-01 13:30:00,2000,1800,1999.1,19.9
2023-01-01 13:40:00,2000,1800,1999.6,20
2023-01-01 13:50:00,2000,1800,2000.1,20.7
2023-01-01 14:00:00,2000,1800,2000.2,19.6
2023-01-01 14:10:00,2000,1800,2000,21.1
2023-01-01 14:20:00,2000,1800,2000.1,20.9
2023-01-01 14:30:00,2000,1800,2000.4,20.9
2023-01-01 14:40:00,2000,1800,1998.8,21.4
2023-01-01 14:50:00,2000,1800,1999.9,20.4
2023-01-01 15:00:00,2000,1800,2000,20.8
2023-01-01 15:10:00,2000,1800,2000.4,20.6
2023-01-01 15:20:00,2000,1800,1999.5,19.1
2023-01-01 15:30:00,2000,1800,1996.3,20
2023-01-01 15:40:00,2000,1800,1997.7,18.1
2023-01-01 15:50:00,2000,1800,1996.1,15.2
2023-01-01 16:00:00,1806,1724,1810.5,11.3
2023-01-01 16:10:00,1501,1492,1438.3,9.9
2023-01-01 16:20:00,1960,1791,1825.1,12.3
2023-01-01 16:30:00,2000,1800,1957.6,13.5
2023-01-01 16:40:00,1960,1791,1849.4,12.4
2023-01-01 16:50:00,1996,1799,1840.8,12.9
2023-01-01 17:00:00,1145,1145,1167.8,8.7
2023-01-01 17:10:00,1145,1145,1255.7,9.2
